name,gender
priynka,f
smt.kiswar jahan,f
muskan,f
vandhna,f
kanchan,f
santosh bai,f
munni khatun,f
smt. annpurna,f
saneha,f
hemlata,f
monika rani,f
neha,f
reema jha,f
kumari meera,f
raj kumari,f
yashika,f
aarti,f
tapsam,f
sapna,f
khusboo,f
ishika,f
partibha,f
narbada,f
kumari manju,f
anita,f
rinku kumari,f
pooja,f
sandhya,f
renu,f
deepika,f
kanchan,f
spana,f
sapna,f
rita roy,f
manju,f
reshma,f
samaiali,f
heena,f
manju devi,f
priyanka sagar,f
samreen,f
himanshi,f
mamta,f
reena,f
pankaj,f
roshan,f
gul afshan,f
shana,f
nagma,f
usha devi,f
mamta,f
tanuja,f
rishu,f
gunjan verna,f
noor jala,f
,f
varsha,f
anjali,f
khusbhu,f
khusbhu,f
reshma,f
sushma,f
lakhi devi,f
nayana kumari,f
nirmal,f
bhawana,f
preeti,f
reema,f
jamrujaha,f
anju devi,f
puja,f
durga devi,f
ruchi,f
aruna with children,f
chanchal,f
chama ( with child dependeri age 2 years),f
deepa,f
poonam,f
poonam,f
gulafsa,f
manisha,f
babita,f
seema,f
smt ladidavi,f
khushbu,f
sunaina,f
gulista,f
kumari deepa,f
priya urf laxmi devi with her son,f
manisha,f
khushbu,f
komal,f
vandana,f
jyoti devi,f
payal,f
kesnata devi @ rajni,f
matul  devi,f
nainshi,f
mubshshira,f
sona sarkar,f
neeru,f
poornima,f
km. guddi,f
sunita devi,f
laxmi,f
shayra,f
neelam mehta,f
priya kumar,f
sashi,f
himani,f
sazi,f
rashida khatoon,f
radhika,f
,f
ruzina khatun,f
kajol,f
manisha,f
jyoti,f
rukmani,f
radhika,f
shabana,f
geeta,f
sarita,f
poonam yadav,f
neelu,f
rangeeta,f
shahnawaj,f
rimpy,f
rekha,f
saroj devi,f
seema chauhan,f
kumari gori,f
chumki,f
pooja chawriya,f
jyoti,f
virjiniya,f
laxmi,f
gulfasha,f
nirmla devi,f
kavita,f
saanu goyal,f
smt kaushalya,f
divya bharti,f
varsha,f
nisha,f
apsana,f
heena,f
priti yadav,f
bharkah,f
deepali,f
heena,f
priyanka,f
,f
muskan,f
mudsay,f
rubbi,f
nagma,f
ruksar,f
komal,f
smt. sushma,f
alka,f
smt. chancal,f
ruby,f
kusuma,f
himanshi,f
smt. sushma,f
sumnesh,f
neha,f
heena,f
shivani,f
reena,f
lali @ deepa,f
zareena,f
minakshi,f
aarti,f
karishma,f
swati,f
mamta,f
priyanka,f
seema,f
preeti,f
usha,f
jasoda,f
poonam,f
shathi davi,f
nimla sharama,f
menadevi,f
sut. suman khatik,f
sameem,f
shrishti,f
bharti,f
jyoty,f
gudya singh,f
sunita,f
meena,f
pooja,f
laxami,f
meghana,f
kangana,f
garima,f
nandni,f
lalita devi,f
nazrin,f
saraswati,f
bhatri,f
rakhi,f
mobsheera haider (shadiya),f
pooja,f
montu,f
montu,f
kajal,f
pinki,f
madhu,f
mudrika,f
radhika,f
madhu,f
devi sharma,f
shivani,f
muskan,f
poonam,f
sonia,f
gytri  garg,f
shashi @ kajal,f
suganti @ sonali,f
swati singh,f
laxmi,f
nekki,f
rajni,f
poonam,f
khushi,f
kureja,f
anupama,f
anupama,f
sheetal,f
rekha,f
deepika,f
gyatri,f
raj rani,f
ridhima,f
rekha kumari,f
nisha hajra,f
naseeba,f
isha naaz,f
shivani,f
jeenat,f
ruksana bano,f
soniya,f
sarita,f
biwa kumari,f
gayatri,f
ridhima,f
sunita verma,f
komal,f
kanchan,f
megha bansal,f
neni,f
sangeeta,f
surjeet kaur,f
tina,f
swati,f
nisha kapoor,f
,f
shivani,f
parwati,f
anjali,f
kanta,f
priyanka,f
prema devi,f
maya kumari,f
sajida,f
disha,f
geeta,f
minakxi,f
munni,f
smt. vidhya tiwari,f
nisha,f
pooja,f
ranjeeta,f
smt. shweta gupta,f
anam,f
vibha,f
roshan,f
krishna,f
asha devi,f
resham yadav,f
pavitra,f
manpreet kaur @ preet,f
rekha,f
bigan mehto,f
lalita,f
razia,f
pushpa,f
aman jeet,f
aman,f
indra,f
devi kanwar,f
neha,f
sunita,f
neetu,f
manju kumari,f
parul,f
mansi,f
sabbo bano,f
bimlesh,f
chhabi rani dass,f
rubi,f
pooja,f
anshu,f
bindiya,f
manisha,f
rajni,f
pooja,f
santosh,f
seema,f
seema,f
tara kanwar,f
sarojini,f
phulkana,f
kiran,f
sapna,f
krishka,f
ilema,f
sonam,f
khushi,f
sahar bano,f
sahiba,f
rita,f
pinki,f
nisha,f
chandni,f
chandni,f
himanshi,f
sunita,f
akansha,f
gayatri @ rani,f
pooja,f
nisha,f
bimla,f
rada,f
maya,f
rahina,f
parvesh kumari,f
manorma,f
sapna,f
neha,f
kirti ahuja,f
alam aara,f
priti rawat,f
suman,f
kum  mamta,f
tamsa,f
hoor bano,f
bhawana jat,f
sunita with her daughter,f
sangeeta,f
sangeeta,f
harneet kaur,f
harneet kaur,f
roshani,f
radha,f
deepa,f
mansi raghav,f
jyoti,f
pooja,f
sarita devi,f
laxmi,f
vimla,f
preeti,f
sukhbir kaur,f
seema,f
saveta,f
rakhi chauhan,f
rani,f
kafia,f
minakshi,f
smt sarita,f
shabana @ gudiya,f
madhu @ anita,f
rubby,f
ankita kanwar rathore,f
meera,f
manisha,f
chand mundari@geeta,f
kinya devi @ pinu,f
pooja,f
shikha rai,f
kajal,f
priti,f
kanika sharma,f
pallavi,f
sakshi,f
asgari bagam,f
mumtaz @ babi,f
ruksar,f
kavita harijan,f
sunita,f
anupam,f
karishma,f
parniti,f
ruksar,f
pappy,f
raziya,f
payal,f
neeru,f
anita bai,f
mohini,f
diksha rani,f
jamila khatoon,f
preeti,f
sabhana,f
durgash urf mahi,f
smt laxmi,f
rupa verma,f
km varsha,f
ankita,f
seema,f
namarta,f
guddi with 02 children,f
phoolmani,f
yogita,f
shiwani,f
parveen khatun,f
kajal,f
saroj,f
anju goyal,f
jyoti,f
renu,f
seema,f
naseem,f
hemraj,f
sonia,f
pushpa,f
ramwati,f
imrana,f
vaishali,f
jasoda,f
kripya minch,f
pushpa sahu,f
chanchal,f
sonam bano,f
savita,f
rashika,f
priti,f
chanchal,f
poonam,f
priyanka,f
bilke khatoon,f
sarita,f
kajal,f
punam,f
krishna@manisha,f
kavita,f
madhu,f
kulli devi,f
kali,f
komal berwal,f
kumari radha,f
chotti jha,f
sivani,f
monika,f
shamima,f
smt. muslima bibi,f
rama sharma,f
jyoti,f
ranju devi,f
sunali,f
zahira,f
purnima gosawmi,f
ruksar,f
kajal,f
suman,f
anshul,f
nisha singh,f
anjli,f
himansi,f
reeta  and her doughter surabhi,f
manisha,f
neelam,f
dharmshila,f
hemani,f
mamta,f
shivani,f
sunder munni kumari,f
sunder munni kumari,f
santosh,f
smt. lalita devi,f
sangeeta mahali,f
pooja,f
reena,f
"ranjita devi and his son priyanshu age 2,1/2 yrs",f
sareen bano,f
sonali,f
soni,f
gyan devi @ biba,f
seema,f
preeti,f
neelam devi,f
neetu,f
vinod gupta,f
meena,f
mamuni,f
raja devi,f
neha,f
jyoti pandey,f
paramjeet kaur @ aasha,f
padma,f
puja,f
anjali,f
jaya saini,f
mamta,f
aarti,f
anjali,f
vaishali,f
savita,f
poonam mishra,f
komal,f
madam sahnaj,f
laxmi devi,f
jeta,f
naveena,f
anu jain,f
pooja,f
padma devi,f
puja chauhan,f
poonam,f
vinod devi,f
ram pyari,f
kali,f
sumitra,f
anju devi,f
minakshi,f
komal,f
roshni,f
pooja,f
subhdra kumar,f
shallu,f
rinku kumari,f
ahsamin @ juhi,f
vandna @ krishma,f
janki @ soni,f
sweety,f
,f
ku. seetal rawat,f
kiran @ vina,f
kanti devi,f
maya devi,f
labbhi,f
shabnam,f
bhawana,f
kamlesh,f
kumari aasu,f
smt gulkasha,f
neha,f
deepa bhatt,f
jyoti,f
harpreet kaur,f
gauri,f
asha,f
kavita,f
meena,f
muskhan,f
arti,f
annu sharma,f
neetu,f
sangeeta,f
kusum,f
smt shimla devi,f
santoshi,f
vinod kumar,f
nurbi,f
anil kumar,f
ramli rathore,f
sunita,f
beauty khatoon,f
sarvesh,f
